FID,Station_ID,Latitude,Longitude,Input_FID,Area
281,13776,-43.675,169.975,2243,2.24011
282,13427,-43.675,170.275,1931,2.24
283,19744,-43.675,170.575,5040,2.23991
284,15192,-43.675,170.875,3506,2.23985
285,19517,-43.675,171.175,4813,2.23983
286,18072,-43.675,171.475,4002,2.23984
287,18826,-43.675,171.825,4125,2.23989
288,19189,-43.675,172.125,4486,2.23998
289,20159,-43.675,172.425,5453,2.2401
290,21371,-43.725,172.725,6659,2.23845
291,20266,-43.725,173.025,5558,2.2336
292,20155,-43.475,172.425,5449,2.24736
293,18822,-43.475,171.825,4121,2.24721
294,19513,-43.475,171.175,4809,2.24722
295,19740,-43.475,170.575,5036,2.24737
296,13771,-43.425,169.975,2238,2.24953
297,14096,-43.325,170.075,2533,3.63862
298,13417,-43.225,170.275,1922,2.25686
299,19735,-43.225,170.575,5031,2.25669
300,15181,-43.225,170.875,3497,2.25656
301,19508,-43.225,171.175,4804,2.25646
302,15648,-43.225,171.525,3912,2.25638
303,18817,-43.225,171.825,4116,2.25636
304,19110,-43.225,172.125,4407,2.25637
305,20151,-43.275,172.425,5445,2.25461
306,21367,-43.225,172.725,6655,2.39511
307,20628,-42.925,173.225,5920,3.22551
308,21363,-43.025,172.725,6651,2.26373
309,19106,-43.025,172.125,4403,2.26365
310,15644,-43.025,171.525,3908,2.26373
311,15351,-43.025,170.925,3648,2.26396
312,14058,-43.075,170.425,2500,3.4097
313,15344,-42.775,170.925,3643,2.17155
314,15639,-42.775,171.525,3903,2.2729
315,18808,-42.775,171.825,4107,2.2728
316,19102,-42.825,172.125,4399,2.27092
317,20142,-42.825,172.425,5436,2.27091
318,20199,-42.825,173.025,5492,2.27101
319,20465,-42.825,173.325,5757,1.9233
320,20540,-42.475,173.525,5832,1.7547
321,20194,-42.575,173.025,5487,2.27996
322,18804,-42.575,171.825,4103,2.28009
323,19696,-42.575,171.225,4992,2.28041
324,19843,-42.375,171.275,5138,3.1193
325,15628,-42.325,171.525,3894,2.28939
326,18799,-42.325,171.825,4098,2.2892
327,19093,-42.375,172.125,4390,2.28725
328,20132,-42.375,172.425,5427,2.28716
329,21248,-42.375,172.725,6536,2.28711
330,20190,-42.375,173.025,5483,2.28711
331,20456,-42.375,173.325,5748,2.28716
332,29086,-42.375,173.625,9396,2.83708
333,21524,-42.125,173.925,6812,1.28941
334,20451,-42.125,173.325,5743,2.29604
335,21243,-42.125,172.725,6531,2.29608
336,19088,-42.125,172.125,4385,2.2963
337,15624,-42.125,171.525,3890,2.29671
338,15619,-41.875,171.525,3885,2.30585
339,18791,-41.925,171.825,4090,2.30375
340,19084,-41.925,172.125,4381,2.30353
341,20123,-41.925,172.425,5418,2.30336
342,21239,-41.925,172.725,6527,2.30323
343,20181,-41.925,173.025,5474,2.30316
344,20447,-41.925,173.325,5739,2.30313
345,30135,-41.925,173.625,10445,2.30316
346,21520,-41.925,173.925,6808,2.30324
347,28101,-41.825,174.175,8411,2.38204
348,29761,-41.575,175.325,10071,3.11174
349,28102,-41.725,174.175,8412,2.40244
350,26981,-41.675,173.625,7291,2.31196
351,19928,-41.675,172.425,5223,2.31233
352,18733,-41.675,171.825,4032,2.67767
353,19234,-41.475,171.975,4531,1.51209
354,19073,-41.475,172.125,4372,2.31976
355,19924,-41.475,172.425,5219,2.3195
356,21230,-41.475,172.725,6518,2.31929
357,20171,-41.475,173.025,5465,2.31914
358,20396,-41.475,173.325,5688,2.31903
359,30678,-41.475,173.625,10988,2.31899
360,21511,-41.475,173.925,6799,2.31824
361,29151,-41.425,174.925,9461,1.82788
362,29721,-41.375,175.125,10031,2.07797
363,30856,-41.425,175.425,11166,2.32154
364,29857,-41.375,175.725,10167,2.85101
365,29329,-41.225,175.725,9639,2.32866
366,30236,-41.225,175.125,10546,2.32813
367,21646,-41.275,174.625,6934,1.56316
368,29111,-41.225,173.975,9421,3.14362
369,20549,-41.225,173.375,5841,3.90935
370,21225,-41.225,172.725,6513,2.32818
371,19028,-41.225,172.125,4327,2.26275
372,19198,-41.025,172.175,4495,2.33586
373,19915,-41.025,172.425,5210,2.33557
374,21221,-41.025,172.725,6509,2.33528
375,20164,-40.975,173.025,5458,2.13474
376,21479,-41.025,173.725,6767,3.61086
377,30150,-41.075,173.875,10460,2.44294
378,30725,-41.025,174.175,11035,3.2427
379,28128,-41.025,174.925,8438,2.16438
380,27096,-40.975,175.125,7406,2.33667
381,29783,-40.975,175.425,10093,2.33688
382,28818,-40.975,175.725,9128,2.33713
383,29389,-40.975,176.025,9699,2.33745
384,28379,-40.925,176.175,8689,1.89813
385,27288,-40.725,175.975,7598,2.34581
386,28736,-40.775,175.425,9046,2.34367
387,20200,-40.825,172.975,5493,3.24236
388,19910,-40.775,172.425,5205,2.34447
389,21320,-40.625,172.575,6608,4.63971
390,29213,-40.525,175.225,9523,2.2511
391,28213,-40.525,175.375,8523,2.25199
392,27289,-40.525,175.975,7599,2.35253
393,29958,-40.525,176.275,10268,2.35282
394,29482,-40.475,176.575,9792,2.12537
395,29507,-40.175,176.825,9817,1.31398
396,27871,-40.275,176.275,8181,2.36117
397,30361,-40.325,175.675,10671,2.35903
398,28683,-40.275,175.225,8993,1.57694
399,27108,-40.075,175.175,7418,2.90106
400,27156,-40.075,175.375,7466,2.36731
401,27756,-40.075,175.675,8066,2.36743
402,28346,-40.075,175.975,8656,2.36761
403,29436,-40.075,176.275,9746,2.36784
404,31067,-40.075,176.525,11377,2.36807
405,30555,-40.025,176.825,10865,2.37004
406,30573,-39.825,176.975,10883,2.24739
407,30514,-39.825,176.525,10824,2.37637
408,30978,-39.825,175.975,11288,2.37596
409,30847,-39.875,175.375,11157,2.37404
410,29672,-39.825,174.775,9982,3.00741
411,29667,-39.575,174.175,9977,1.77936
412,24997,-39.675,174.475,7211,2.38086
413,30729,-39.625,174.775,11039,2.38246
414,29184,-39.625,175.075,9494,2.38242
415,28216,-39.625,175.375,8526,2.38244
416,27222,-39.625,175.675,7532,2.38251
417,28868,-39.625,175.925,9178,2.38261
418,31021,-39.625,176.225,11331,2.38278
419,28422,-39.625,176.525,8732,2.38299
420,27429,-39.575,176.825,7739,2.3849
421,30582,-39.675,177.075,10892,1.34102
422,27498,-39.225,177.875,7808,2.81137
423,29502,-39.375,176.775,9812,2.39146
424,29428,-39.375,176.225,9738,2.39108
425,29315,-39.425,175.625,9625,2.38918
426,27088,-39.425,175.075,7398,2.38914
427,21440,-39.425,173.925,6728,2.38971
428,21436,-39.225,173.925,6724,2.3965
429,29669,-39.225,174.175,9979,2.39628
430,24858,-39.225,174.475,7179,2.39607
431,28110,-39.175,174.775,8420,2.39761
432,28652,-39.175,175.075,8962,2.39753
433,30840,-39.175,175.325,11150,2.3975
434,29839,-39.175,175.625,10149,2.39753
435,28869,-39.175,175.925,9179,2.3976
436,28920,-39.175,176.225,9230,2.39772
437,29473,-39.175,176.475,9783,2.39786
438,31090,-39.175,176.775,11400,2.39806
439,29535,-39.125,177.075,9845,3.02799
440,28501,-39.075,177.325,8811,2.16991
441,28513,-39.025,177.625,8823,2.58237
442,28532,-39.125,177.925,8842,3.13336
443,30088,-38.875,177.625,10398,2.40865
444,29022,-38.925,177.075,9332,2.40653
445,27910,-38.925,176.475,8220,2.40613
446,30971,-38.975,175.925,11281,2.40425
447,28715,-38.975,175.325,9025,2.40418
448,29675,-38.975,174.775,9985,2.40432
449,27582,-39.025,174.175,7892,2.69235
450,29676,-38.775,174.775,9986,2.41101
451,27083,-38.725,175.025,7393,2.41258
452,29240,-38.725,175.325,9550,2.41252
453,30907,-38.725,175.625,11217,2.41251
454,29373,-38.725,175.925,9683,2.41255
455,29946,-38.725,176.175,10256,2.41262
456,29474,-38.725,176.475,9784,2.41275
457,27941,-38.725,176.775,8251,2.41292
458,28482,-38.675,177.025,8792,2.41473
459,27466,-38.675,177.325,7776,2.41496
460,30089,-38.675,177.625,10399,2.41521
461,29602,-38.675,177.925,9912,2.41549
462,30113,-38.625,178.125,10423,3.19814
463,30126,-38.425,178.325,10436,1.72045
464,27500,-38.425,177.875,7810,2.42364
465,30071,-38.475,177.325,10381,2.42154
466,27419,-38.475,176.725,7729,2.42115
467,30471,-38.475,176.175,10781,2.4209
468,29317,-38.525,175.625,9627,2.41915
469,28146,-38.525,175.025,8456,2.41924
470,22677,-38.325,174.725,7155,2.22377
471,30782,-38.275,175.025,11092,2.42755
472,27689,-38.275,175.325,7999,2.42746
473,30960,-38.275,175.875,11270,2.42746
474,27337,-38.275,176.175,7647,2.42752
475,27375,-38.275,176.475,7685,2.42764
476,28456,-38.275,176.725,8766,2.42776
477,29036,-38.225,177.325,9346,2.42979
478,28005,-38.225,177.575,8315,2.42998
479,29597,-38.225,177.875,9907,2.43021
480,29614,-38.175,178.175,9924,2.43211
481,29613,-37.975,178.125,9923,2.43866
482,30086,-37.975,177.575,10396,2.43824
483,30580,-38.025,177.025,10890,2.4362
484,29987,-38.025,176.425,10297,2.43589
485,28862,-38.075,175.875,9172,2.43408
486,30286,-38.075,175.325,10596,2.43409
487,22584,-38.125,174.725,7151,1.81289
488,26934,-37.875,174.775,7288,2.45381
489,27629,-37.825,175.025,7939,2.44243
490,30277,-37.825,175.275,10587,2.44236
491,27203,-37.825,175.575,7513,2.44232
492,27813,-37.825,175.875,8123,2.44235
493,30466,-37.825,176.125,10776,2.4424
494,31055,-37.825,176.425,11365,2.44251
495,28450,-37.875,176.675,8760,2.44253
496,29577,-37.825,177.625,9887,1.65295
497,27497,-37.775,177.825,7807,2.44506
498,30664,-37.725,178.125,10974,2.44695
499,31180,-37.725,178.425,11490,2.44717
500,29078,-37.575,178.275,9388,2.3495
501,28536,-37.625,177.925,8846,1.85918
502,31114,-37.525,177.175,11424,3.49912
503,30453,-37.575,176.075,10763,3.32765
504,27204,-37.625,175.575,7514,2.44892
505,27084,-37.625,175.025,7394,2.44902
506,22476,-37.425,174.725,7150,2.54985
507,27631,-37.375,175.025,7941,2.36712
508,28707,-37.375,175.275,9017,2.45717
509,27205,-37.375,175.575,7515,2.45716
510,29897,-37.375,175.825,10207,2.4572
511,29439,-37.275,176.275,9749,1.31494
512,29232,-37.175,175.275,9542,3.16161
513,21814,-37.175,174.725,7102,2.30123
514,21951,-36.975,174.475,7127,1.73866
515,21813,-36.925,174.725,7101,2.34154
516,29165,-36.975,174.975,9475,2.47031
517,27132,-36.975,175.225,7442,2.7289
518,30899,-36.925,175.575,11209,2.47195
519,29899,-36.925,175.825,10209,2.7422
520,28776,-36.725,175.525,9086,2.47849
521,28132,-36.775,174.925,8442,2.45622
522,21700,-36.725,174.425,6988,2.47863
523,29132,-36.475,174.175,9442,1.84551
524,21698,-36.525,174.425,6986,9.59826
525,21653,-36.525,174.675,6941,3.20312
526,28126,-36.425,174.875,8436,1.91897
527,29780,-36.475,175.375,10090,1.98953
528,27177,-36.525,175.425,7487,3.15735
529,29781,-36.225,175.375,10091,2.87531
530,21648,-36.275,174.675,6936,2.49295
531,28599,-36.275,174.125,8909,1.81946
532,29107,-36.075,173.875,9417,2.62718
533,21692,-36.075,174.425,6980,2.49934
534,21784,-36.075,174.575,7072,2.78333
535,28223,-36.075,175.375,8533,2.97676
536,21688,-35.875,174.425,6976,4.8959
537,28075,-35.825,173.875,8385,2.50742
538,20639,-35.575,173.425,5931,3.19085
539,20593,-35.625,173.575,5885,2.5138
540,27542,-35.625,173.875,7852,2.51356
541,21542,-35.625,174.125,6830,2.51346
542,21684,-35.625,174.425,6972,2.46996
543,21537,-35.375,174.125,6825,2.30941
544,20588,-35.375,173.575,5880,2.0285
545,20273,-35.175,173.075,5565,1.85857
546,20385,-35.175,173.325,5677,2.52749
547,20585,-35.175,173.575,5877,2.52728
548,29646,-35.175,173.825,9956,2.52718
549,28591,-35.175,174.075,8901,2.13197
550,21576,-35.275,174.275,6864,4.52373
551,27007,-35.025,173.825,7317,2.59132
552,20541,-34.925,173.225,5833,3.93356
553,21054,-34.625,172.875,6344,2.94095
554,20253,-34.725,173.025,5545,2.54075
555,20117,-34.475,172.975,5412,6.65556
556,12321,-47.125,167.625,1304,3.07242
557,12320,-47.075,167.625,1303,2.74951
558,11969,-47.225,167.575,1218,3.73159
559,11926,-47.175,167.575,1217,1.99511
560,11404,-47.275,167.525,1096,2.17829
561,11403,-47.225,167.525,1095,2.15976
562,7472,-47.275,167.475,123,1.47292
563,12322,-47.175,167.625,1305,2.28179
564,7751,-47.175,167.825,388,1.68231
565,7750,-47.125,167.825,387,2.10903
566,7749,-47.075,167.825,386,2.11097
567,7741,-47.125,167.925,378,2.04855
568,7740,-47.075,167.925,377,2.11096
569,7691,-47.175,167.875,331,1.26506
570,7690,-47.125,167.875,330,2.10902
571,7689,-47.075,167.875,329,2.11096
572,7600,-47.125,167.775,240,2.10903
573,7599,-47.075,167.775,239,2.11097
574,7532,-47.175,167.725,175,1.46702
575,7531,-47.125,167.725,174,2.10904
576,7530,-47.075,167.725,173,2.0911
577,7409,-47.175,167.675,67,1.8795
578,7408,-47.125,167.675,66,2.10905
